code,name,status,ok_1d,ok_1m,count_1d,count_1m
688699.SH,明微电子,Success,True,True,513,6527
600611.SH,大众交通,Success,True,True,513,6527
603186.SH,华正新材,Success,True,True,513,6527
603969.SH,银龙股份,Success,True,True,513,6527
600754.SH,锦江酒店,Success,True,True,513,6527
600720.SH,中交设计,Success,True,True,513,6527
605366.SH,宏柏新材,Success,True,True,513,6527
603444.SH,吉比特,Success,True,True,513,6527
688636.SH,智明达,Success,True,True,513,6527
603883.SH,老百姓,Success,True,True,513,6527
603129.SH,春风动力,Success,True,True,513,6527
688259.SH,创耀科技,Success,True,True,513,6527
600622.SH,光大嘉宝,Success,True,True,513,6527
600239.SH,云南城投,Success,True,True,513,6527
601908.SH,京运通,Success,True,True,513,6527
603359.SH,东珠生态,Success,True,True,513,6527
688432.SH,有研硅,Success,True,True,513,6527
688029.SH,南微医学,Success,True,True,513,6527
605060.SH,联德股份,Success,True,True,513,6527
600426.SH,华鲁恒升,Success,True,True,513,6527
600997.SH,开滦股份,Success,True,True,513,6527
600452.SH,涪陵电力,Success,True,True,513,6527
605088.SH,冠盛股份,Success,True,True,513,6527
600895.SH,张江高科,Success,True,True,513,6527
600550.SH,保变电气,Success,True,True,513,6527
605116.SH,奥锐特,Success,True,True,513,6527
605162.SH,新中港,Success,True,True,513,6527
600809.SH,山西汾酒,Success,True,True,513,6527
688530.SH,欧莱新材,Success,True,True,432,6527
600435.SH,北方导航,Success,True,True,513,6527
600984.SH,建设机械,Success,True,True,513,6527
688455.SH,科捷智能,Success,True,True,513,6527
605007.SH,五洲特纸,Success,True,True,513,6527
601229.SH,上海银行,Success,True,True,513,6527
603725.SH,天安新材,Success,True,True,513,6527
600918.SH,中泰证券,Success,True,True,513,6527
603248.SH,锡华科技,Success,True,True,35,6527
688557.SH,兰剑智能,Success,True,True,513,6527
688523.SH,航天环宇,Success,True,True,513,6527
688138.SH,清溢光电,Success,True,True,513,6527
600886.SH,国投电力,Success,True,True,513,6528
600537.SH,亿晶光电,Success,True,True,513,6528
605199.SH,ST葫芦娃,Success,True,True,513,6528
600158.SH,中体产业,Success,True,True,513,6528
600543.SH,莫高股份,Success,True,True,513,6528
603038.SH,华立股份,Success,True,True,513,6528
603992.SH,松霖科技,Success,True,True,513,6528
688727.SH,恒坤新材,Success,True,True,60,6528
688348.SH,昱能科技,Success,True,True,513,6528
600733.SH,北汽蓝谷,Success,True,True,513,6528
600328.SH,中盐化工,Success,True,True,513,6528
603878.SH,武进不锈,Success,True,True,513,6528
600645.SH,中源协和,Success,True,True,513,6528
688625.SH,呈和科技,Success,True,True,513,6528
603890.SH,春秋电子,Success,True,True,513,6528
605277.SH,新亚电子,Success,True,True,513,6528
688651.SH,盛邦安全,Success,True,True,513,6528
601059.SH,信达证券,Success,True,True,513,6528
600848.SH,上海临港,Success,True,True,513,6528
605123.SH,派克新材,Success,True,True,513,6528
688571.SH,杭华股份,Success,True,True,513,6528
603601.SH,再升科技,Success,True,True,513,6528
600196.SH,复星医药,Success,True,True,513,6528
688505.SH,复旦张江,Success,True,True,513,6528
603286.SH,日盈电子,Success,True,True,513,6528
688599.SH,天合光能,Success,True,True,513,6528
688182.SH,灿勤科技,Success,True,True,513,6528
600511.SH,国药股份,Success,True,True,513,6528
688080.SH,映翰通,Success,True,True,513,6528
601688.SH,华泰证券,Success,True,True,513,6528
600008.SH,首创环保,Success,True,True,513,6528
600467.SH,好当家,Success,True,True,513,6528
688068.SH,热景生物,Success,True,True,513,6528
603777.SH,来伊份,Success,True,True,513,6528
600094.SH,大名城,Success,True,True,513,6528
603318.SH,水发燃气,Success,True,True,513,6528
603703.SH,盛洋科技,Success,True,True,513,6528
605055.SH,迎丰股份,Success,True,True,513,6528
600278.SH,东方创业,Success,True,True,513,6528
600663.SH,陆家嘴,Success,True,True,513,6528
601949.SH,中国出版,Success,True,True,513,6528
600617.SH,国新能源,Success,True,True,513,6528
603180.SH,金牌家居,Success,True,True,513,6528
688603.SH,天承科技,Success,True,True,513,6528
688218.SH,江苏北人,Success,True,True,513,6528
603507.SH,振江股份,Success,True,True,513,6528
688677.SH,海泰新光,Success,True,True,513,6528
603168.SH,莎普爱思,Success,True,True,513,6528
600789.SH,鲁抗医药,Success,True,True,513,6528
600392.SH,盛和资源,Success,True,True,513,6528
688701.SH,卓锦股份,Success,True,True,513,6528
601512.SH,中新集团,Success,True,True,513,6528
601566.SH,九牧王,Success,True,True,513,6528
